"Audience","Topic","Subtopic","Article","Keywords"
"For Businesses","Get reviews","Request reviews using methods outside of Trustpilot's system","What are Business Generated Links?",""
"For Businesses","Get reviews","Manage your review invitations","Add Trustpilot to your SPF record","spf"
"For Businesses","Get reviews","Manage your review invitations","Configure your invitation email settings",""
"For Businesses","Get reviews","Manage your review invitations","Configure your invitation time and delivery settings",""
"For Businesses","Get reviews","Manage your review invitations","Customize your invitation template",""
"For Businesses","Get reviews","Manage your review invitations","Get more customer feedback with multiple reviews",""
"For Businesses","Get reviews","Manage your review invitations","How we review your email invitation templates",""
"For Businesses","Get reviews","Manage your review invitations","Invitation optimizer",""
"For Businesses","Get reviews","Manage your review invitations","Invitation status overview",""
"For Businesses","Get reviews","Manage your review invitations","Manage your sent invitations",""
"For Businesses","Get reviews","Manage your review invitations","Turn off tracking pixels in review invitations","tracking pixels"
"For Businesses","Get reviews","Guidelines + tips","Collect reviews on business premises",""
"For Businesses","Get reviews","Guidelines + tips","Tips for businesses",""
"For Businesses","Get reviews","","Invitation Add-on Module",""
"For Businesses","Get reviews","","Set up an In-app review collector",""
"For Businesses","Get reviews","","Trustpilot invitation methods",""
"For Businesses","Automatic Feedback Service","Standard AFS guides","Automatic Feedback Service - FAQ","afs faq"
"For Businesses","Automatic Feedback Service","Standard AFS guides","Automatic Feedback Service (AFS)","afs"
"For Businesses","Automatic Feedback Service","Standard AFS guides","Collect reviews throughout your customer journey with Automatic Feedback Service (AFS)","afs"
"For Businesses","Automatic Feedback Service","Standard AFS guides","Set up Automatic Feedback Service (AFS) using a BCC field","afs; bcc"
"For Businesses","Automatic Feedback Service","Standard AFS guides","Set up Automatic Feedback Service (AFS) using a separate trigger email","afs"
"For Businesses","Automatic Feedback Service","Standard AFS guides","What is Automatic Feedback Service?","afs"
"For Businesses","Automatic Feedback Service","Ecommerce AFS guides","Use Automatic Feedback Service with the Shopify Flow app","afs; shopify"
"For Businesses","Manage Reviews","Service reviews","Get started with service reviews",""
"For Businesses","Manage Reviews","Service reviews","Manage your service reviews",""
"For Businesses","Manage Reviews","Service reviews","Review follow-up",""
"For Businesses","Manage Reviews","Service reviews","Tag your service reviews","tags"
"For Businesses","Manage Reviews","Service reviews","Trustpilot's Review spotlight",""
"For Businesses","Manage Reviews","Product reviews","Import third-party product reviews to Trustpilot",""
"For Businesses","Manage Reviews","Product reviews","Manage your product catalog",""
"For Businesses","Manage Reviews","Product reviews","Prepare your product catalog CSV file","csv"
"For Businesses","Manage Reviews","Product reviews","Product review pages (Beta)",""
"For Businesses","Manage Reviews","Product reviews","Set up your product catalog",""
"For Businesses","Manage Reviews","Location reviews","Get started with location reviews",""
"For Businesses","Manage Reviews","Location reviews","How to create a CSV file for locations","csv"
"For Businesses","Manage Reviews","Location reviews","Location reviews - FAQ",""
"For Businesses","Manage Reviews","Location reviews","Manage your business locations",""
"For Businesses","Manage Reviews","Location reviews","Set up location review invitations",""
"For Businesses","Manage Reviews","Manage your reviews","How to reply to reviews",""
"For Businesses","Manage Reviews","Manage your reviews","How to request information from reviewers",""
"For Businesses","Manage Reviews","","Tips for replying to reviews",""
"For Businesses","Manage Reviews","","Use AI-assisted replies to respond to reviews","ai replies"
"For Businesses","Analytics","Performance","Analytics explorer",""
"For Businesses","Analytics","Performance","Invitation analytics",""
"For Businesses","Analytics","Performance","Reply analytics",""
"For Businesses","Analytics","Performance","Service reviews analytics",""
"For Businesses","Analytics","Review insights","Trustpilot Analytics: Review Insights - Locations","locations"
"For Businesses","Analytics","Review insights","Trustpilot Analytics: Review Insights - Spotlight report","spotlight report"
"For Businesses","Analytics","Review insights","Trustpilot Analytics: Review Insights - Topics","topics"
"For Businesses","Analytics","Review insights","Trustpilot Analytics: Review Insights - TrustScore forecast","trustscore forecast"
"For Businesses","Analytics","Engagement","AI search analytics",""
"For Businesses","Analytics","Engagement","Trustpilot Analytics: Organic reach","organic reach"
"For Businesses","Analytics","Engagement","Trustpilot Analytics: Profile engagement","profile engagement"
"For Businesses","Analytics","Engagement","Trustpilot Analytics: Search engagement","search engagement"
"For Businesses","Analytics","Engagement","Trustpilot Analytics: SEO reach","seo reach"
"For Businesses","Analytics","Engagement","Trustpilot Analytics: Visitor insights","visitor insights"
"For Businesses","Analytics","Engagement","Trustpilot Analytics: Widgets engagement","widgets engagement"
"For Businesses","Analytics","Market","Market insights",""
"For Businesses","Analytics","Market","Trustpilot Analytics: Market peers","market peers"
"For Businesses","Analytics","Market","Trustpilot Analytics: Market topics","market topics"
"For Businesses","Analytics","Market","Trustpilot Analytics: Market trends","market trends"
"For Businesses","Analytics","Market","Trustpilot Analytics: My competitors","my competitors; competitors"
"For Businesses","Analytics","","Custom dashboards",""
"For Businesses","Share & Promote","","Create a Trustpilot asset",""
"For Businesses","Share & Promote","","Share your rating and reviews on Facebook and Instagram","facebook; instagram; social media"
"For Businesses","Share & Promote","","Share your rating and reviews on Pinterest","pinterest; social media"
"For Businesses","Share & Promote","","Style guidelines for Trustpilot's marketing assets","style guidelines; brand"
"For Businesses","Share & Promote","","Trustpilot and Google store ratings","google; store ratings"
"For Businesses","Share & Promote","","Trustpilot best practices for AI visibility","ai visibility"
"For Businesses","Share & Promote","","Trustpilot Business and AI – FAQ","ai faq"
"For Businesses","Share & Promote","","Trustpilot's Marketing assets","marketing assets"
"For Businesses","TrustBox Widgets","How to add a widget","Accessibility for TrustBox widgets","accessibility"
"For Businesses","TrustBox Widgets","How to add a widget","Add a service review TrustBox widget","service review widget"
"For Businesses","TrustBox Widgets","How to add a widget","Add a TrustBox Newsletter widget to your email campaigns","newsletter widget; email campaigns"
"For Businesses","TrustBox Widgets","Widget overview and FAQ","TrustBox widget overview",""
"For Businesses","TrustBox Widgets","Widget overview and FAQ","Where to place TrustBox widgets on your website","placement"
"For Businesses","TrustBox Widgets","","What is a TrustBox widget?",""
"For Businesses","Integrations","Ecommerce","Trustpilot's OpenCart 3.0 integration","opencart"
"For Businesses","Integrations","Ecommerce","Trustpilot's PrestaShop integration","prestashop"
"For Businesses","Integrations","Ecommerce","Trustpilot's Shopify app","shopify"
"For Businesses","Integrations","Ecommerce","Upgrade to the new Trustpilot app for Shopify","shopify"
"For Businesses","Integrations","Payment & CRM","How to upgrade from Trustpilot's Salesforce integration 1.13 to 1.14","salesforce"
"For Businesses","Integrations","Payment & CRM","Trustpilot's Salesforce integration (1.14 and above)","salesforce"
"For Businesses","Integrations","Payment & CRM","Trustpilot's HubSpot integration","hubspot"
"For Businesses","Integrations","Developer tools","Create a custom TrustBox widget using Trustpilot APIs","api; custom widget"
"For Businesses","Integrations","Developer tools","Send invitations using a Trustpilot API Invitation","api; invitations"
"For Businesses","Integrations","Developer tools","Trustpilot APIs - Service Review Integration Guidelines","api; service review"
"For Businesses","Integrations","Marketing","Partner-built integration overview","partner-built"
"For Businesses","Integrations","Marketing","Trustpilot's Klaviyo integration","klaviyo"
"For Businesses","Integrations","Marketing","Trustpilot's Mailchimp integration","mailchimp"
"For Businesses","Integrations","Marketing","Trustpilot's Google Tag Manager integration","google tag manager; gtm"
"For Businesses","Integrations","Marketing","Trustpilot's Hootsuite integration","hootsuite"
"For Businesses","Integrations","Customer support","Trustpilot's Slack integration","slack"
"For Businesses","Integrations","Customer support","Trustpilot's Zendesk integration","zendesk"
"For Businesses","Integrations","","Trustpilot's integration overview",""
